district,census_year,total_population,population_18_plus
Kailahun,1963,150236,
Kailahun,1974,180365,
Kailahun,1985,233839,
Kailahun,2004,358190,

Kenema,1963,227428,
Kenema,1974,266636,
Kenema,1985,337055,
Kenema,2004,497948,

Kono,1963,167915,
Kono,1974,328930,
Kono,1985,389657,
Kono,2004,335401,

Bombali,1963,198776,
Bombali,1974,233626,
Bombali,1985,317729,
Bombali,2004,408390,

Kambia,1963,137806,
Kambia,1974,155341,
Kambia,1985,186231,
Kambia,2004,270462,

Koinadugu,1963,129061,
Koinadugu,1974,158626,
Koinadugu,1985,183286,
Koinadugu,2004,265758,

Port Loko,1963,247463,
Port Loko,1974,292244,
Port Loko,1985,329344,
Port Loko,2004,453746,

Tonkolili,1963,184460,
Tonkolili,1974,206321,
Tonkolili,1985,243051,
Tonkolili,2004,347197,

Bo,1963,209754,
Bo,1974,217711,
Bo,1985,268671,
Bo,2004,463668,

Bonthe,1963,80139,
Bonthe,1974,87561,
Bonthe,1985,105007,
Bonthe,2004,139687,

Moyamba,1963,167425,
Moyamba,1974,188745,
Moyamba,1985,250514,
Moyamba,2004,260910,

Pujehun,1963,84869,
Pujehun,1974,102741,
Pujehun,1985,117185,
Pujehun,2004,228392,

Western Area Rural,1963,67106,
Western Area Rural,1974,40065,
Western Area Rural,1985,84467,
Western Area Rural,2004,174249,

Western Area Urban,1963,127917,
Western Area Urban,1974,276247,
Western Area Urban,1985,469776,
Western Area Urban,2004,772873,
